id,data,horario,descricao,odd,stake,resultado,casa,esporte
1,2026-04-04,14:00,ml rennes x brest,2.100,37.50,pendente,Bet365,⚽ Futebol
2,2026-04-04,10:00,como ml x udinese,1.720,50.00,pendente,Betano,⚽ Futebol
3,2026-03-22,14:00,ml aarhus x brondby,1.750,50.00,pendente,Betano,⚽ Futebol
4,2026-03-22,12:45,ml telstar x psv,5.000,25.00,pendente,Bet365,⚽ Futebol
5,2026-03-22,09:30,ml holstein kiel x bochum,3.500,25.00,pendente,Bet365,⚽ Futebol
6,2026-03-22,04:30,ml anyang,3.250,25.00,pendente,Bet365,⚽ Futebol
7,2026-03-21,21:30,ml st louis sc x new england,1.960,50.00,pendente,Bet365,⚽ Futebol
8,2026-03-21,14:00,ml toronto x columbus crew,2.620,37.50,pendente,,⚽ Futebol
9,2026-03-21,14:00,molde ml x viking,4.100,25.00,pendente,Bet365,⚽ Futebol
10,2026-03-21,12:15,ml getafe x espanyol,3.400,25.00,pendente,Bet365,⚽ Futebol
11,2026-03-21,12:00,watford chance dupla cartoes x leicester,1.850,75.00,pendente,Betano,⚽ Futebol
12,2026-03-21,04:30,ml beijing guoan x shanghai shenhua,2.150,37.50,pendente,Bet365,⚽ Futebol
13,2026-03-21,02:30,ml gamba osaka x fukuoka,2.700,37.50,pendente,Bet365,⚽ Futebol
14,2026-03-20,15:00,wehen ml,3.000,25.00,pendente,Novibet,⚽ Futebol
15,2026-03-20,14:00,ml liefering,1.910,50.00,pendente,Betano,⚽ Futebol
16,2026-03-19,23:00,knights lightning e kings ml,4.200,17.00,pendente,SportingBet,🏒 Hóquei
17,2026-03-19,23:00,"westbrook over 7,5 ass",1.830,50.00,pendente,Bet365,🏀 Basquete
18,2026-03-19,23:00,td westbrook,21.000,10.00,pendente,Betano,🏀 Basquete
19,2026-03-19,21:30,ml corinthians a 0,6.000,50.41,pendente,SportingBet,⚽ Futebol
20,2026-03-19,21:00,ml heat buxks e76,4.600,58.32,pendente,SportingBet,🏀 Basquete
21,2026-03-19,21:00,"mitchell 27,5 pts",2.750,17.00,void,SportingBet,🏀 Basquete
22,2026-03-19,21:00,dd kelel ware,2.625,125.00,pendente,Bet365,🏀 Basquete
23,2026-03-19,21:00,wemby nao dd,4.080,42.50,pendente,Jogo de Ouro,🏀 Basquete
24,2026-03-19,20:30,"malvadão -2,5 + bunker",3.175,175.00,ganhou,Betano,⚽ Futebol
25,2026-03-19,20:00,flamalvado ganha ambos os tempos e tem amis cantos,2.850,34.00,ganhou,Betano,⚽ Futebol
26,2026-03-19,20:00,"Over 0.5 gols, 1.5 cartões e 1.5 cantos do Remo",4.500,20.00,perdeu,Vaidebet,⚽ Futebol
